Город;Субъект РФ;с.ш.;в.д.;Население;
Абаза;Хакасия;52.6225919;90.079409;12272;
Абакан;Хакасия;53.7175644;91.429317;184769;
Абдулино;Оренбургская;53.6925567;53.647398;17274;
Абинск;Краснодарский;44.8660778;38.150772;39511;
Агидель;Башкортостан;55.901097;53.9354173;14219;
Агрыз;Татарстан;56.5254937;52.995347;19991;
Адыгейск;Адыгея;44.8832511;39.188999;13175;
Азнакаево;Татарстан;54.8563556;53.079327;34750;
Азов;Ростовская;47.0947446;39.413655;81924;
Ак-Довурак;Тыва;51.1727476;90.588774;12456;
Аксай;Ростовская;47.2641365;39.871273;48372;
Алагир;СевернаяОсетия-Алания;43.0422641;44.224276;21550;
Алапаевск;Свердловская;57.8483493;61.68803;36189;
Алатырь;Чувашия;54.8383433;46.581879;32265;
Алдан;Якутия;58.6057234;125.3961;21590;
Алейск;Алтайский;52.4934588;82.780614;25380;
Александров;Владимирская;56.3947309;38.712037;57053;
Александровск;Пермский;59.1606074;57.567188;10780;
Александровск-Сахалинский;Сахалинская;50.8949252;142.15971;8854;
Алексин;Тульская;54.5031038;37.067191;60842;
Алзамай;Иркутская;55.5555238;98.665488;5373;
Алупка;Крым;44.4209688;34.047268;9063;
Алушта;Крым;44.676383;34.41005;31364;
Альметьевск;Татарстан;54.9013725;52.296955;163512;
Амурск;Хабаровский;50.2266509;136.89526;38606;
Анадырь;Чукотский;64.7316953;177.50929;13202;
Анапа;Краснодарский;44.8935914;37.315804;81863;
Ангарск;Иркутская;52.5451248;103.88811;221296;
Андреаполь;Тверская;56.6495643;32.26902;6956;
Анжеро-Судженск;Кемеровская;56.0954566;85.995508;66583;
Анива;Сахалинская;46.719688;142.523266;9638;
Апатиты;Мурманская;67.5671051;33.391068;49647;
Апрелевка;Московская;55.5482773;37.059156;35514;
Апшеронск;Краснодарский;44.4625637;39.741281;40289;
Арамиль;Свердловская;56.6964517;60.833025;19013;
Аргун;Чечня;43.2926866;45.880237;41622;
Ардатов;Мордовия;54.8469491;46.242137;9188;
Ардон;СевернаяОсетия-Алания;43.1800015;44.305323;18956;
Арзамас;Нижегородская;55.3969746;43.830221;104908;
Аркадак;Саратовская;51.9438708;43.494959;10990;
Армавир;Краснодарский;45.0014406;41.132689;187177;
Армянск;Крым;46.1140519;33.687601;20692;
Арсеньев;Приморский;44.1580429;133.26454;47937;
Арск;Татарстан;56.0910268;49.880208;20421;
Артём;Приморский;43.3534638;132.17137;109556;
Артёмовск;Красноярский;48.5986674;37.998036;82916;
Артёмовский;Свердловская;57.3390388;61.878323;28943;
Архангельск;Архангельская;64.5458549;40.550576;301199;
Асбест;Свердловская;57.005462;61.4579127;57317;
Асино;Томская;56.9990111;86.141479;24913;
Астрахань;Астраханская;46.3586008;48.056948;475629;
Ачинск;Красноярский;56.2360841;90.490315;100621;
Аша;Челябинская;54.9892775;57.283709;27890;
Бабаево;Вологодская;59.3930073;35.93032;11739;
Бабушкин;Бурятия;51.7156453;105.86517;4368;
Бавлы;Татарстан;54.4032443;53.235547;21628;
Багратионовск;Калининградская;54.3865829;20.639668;6417;
Байкальск;Иркутская;51.5097192;104.14211;13199;
Баймак;Башкортостан;52.5974199;58.306441;17833;
Бакал;Челябинская;54.9472263;58.812443;16345;
Баксан;Кабардино-Балкария;43.6858092;43.534383;39593;
Балабаново;Калужская;55.1811016;36.666284;29029;
Балаково;Саратовская;52.0245587;47.780662;184466;
Балахна;Нижегородская;56.5046948;43.601767;48569;
Балашиха;Московская;55.7981904;37.967986;520962;
Балашов;Саратовская;51.5434378;43.178805;74057;
Балей;Забайкальский;51.5774556;116.64846;10286;
Балтийск;Калининградская;54.6591222;19.922894;26796;
Барабинск;Новосибирская;55.3505535;78.348131;27648;
Барнаул;Алтайский;53.3497499;83.783573;630877;
Барыш;Ульяновская;53.6536271;47.108047;14924;
Батайск;Ростовская;47.139761;39.7378477;126988;
Бахчисарай;Крым;44.746091;33.8615643;28609;
Бежецк;Тверская;57.7764993;36.686507;21466;
БелаяКалитва;Ростовская;48.1772645;40.802094;40448;
БелаяХолуница;Кировская;58.8372864;50.848728;9659;
Белгород;Белгородская;50.5997134;36.598262;339978;
Белебей;Башкортостан;54.106246;54.1052962;59195;
Белёв;Тульская;53.8117984;36.126424;12846;
Белинский;Пензенская;52.9674667;43.416931;8656;
Белово;Кемеровская;54.4221106;86.303479;68542;
Белогорск;Амурская;50.920068;128.479968;61440;
Белогорск;Крым;45.0577954;34.605095;17445;
Белозерск;Вологодская;60.0336039;37.790996;8375;
Белокуриха;Алтайский;51.9948245;84.993556;14735;
Беломорск;Карелия;64.5198401;34.758653;7708;
Белоозёрский;Московская;55.4616385;38.432983;13737;
Белорецк;Башкортостан;53.9675527;58.410071;64525;
Белореченск;Краснодарский;44.7656192;39.871935;55870;
Белоусово;Калужская;55.092387;36.6649527;10946;
Белоярский;Ханты-Мансийский;63.7064673;66.663902;19994;
Бердск;Новосибирская;54.7750638;83.080031;102850;
Березники;Пермский;59.4131827;56.784931;138069;
Беслан;СевернаяОсетия-Алания;43.1945942;44.516718;35929;
Бийск;Алтайский;52.5097881;85.146206;183852;
Бикин;Хабаровский;46.8279483;134.24644;16240;
Билибино;Чукотский;68.0535995;166.44822;5546;
Биробиджан;Еврейская;48.7879712;132.93066;70064;
Бирск;Башкортостан;55.418472;55.5311876;46441;
Бирюсинск;Иркутская;55.9633661;97.81492;8632;
Бирюч;Белгородская;50.6483496;38.400578;7114;
Благовещенск;Башкортостан;55.0495663;55.954881;241437;
Благовещенск;Амурская;50.2660067;127.53561;35481;
Благодарный;Ставропольский;45.1023646;43.436865;30827;
Бобров;Воронежская;51.0984536;40.030121;20871;
Богданович;Свердловская;56.7743358;62.052292;30142;
Богородицк;Тульская;53.7709957;38.127631;29560;
Богородск;Нижегородская;56.1039436;43.516927;35068;
Боготол;Красноярский;56.2138488;89.538203;18206;
Богучар;Воронежская;49.9357561;40.558917;14370;
Бодайбо;Иркутская;57.850182;114.195778;8921;
Бокситогорск;Ленинградская;59.4735196;33.845725;16185;
Болгар;Татарстан;54.9846864;49.033546;8285;
Бологое;Тверская;57.8856929;34.053203;20234;
Болотное;Новосибирская;55.6717551;84.387215;15644;
Болохово;Тульская;54.0825985;37.829831;9339;
Болхов;Орловская;53.4477973;36.005592;9495;
БольшойКамень;Приморский;43.1124743;132.34516;41825;
Борзя;Забайкальский;50.3915439;116.53335;29596;
Борисоглебск;Воронежская;51.3677942;42.074583;60687;
Боровичи;Новгородская;58.3924996;33.906646;47883;
Боровск;Калужская;55.2033534;36.482639;12598;
Бородино;Красноярский;55.9057883;94.908511;15174;
Братск;Иркутская;56.2928363;101.71212;224071;
Бронницы;Московская;55.4255046;38.265436;21831;
Брянск;Брянская;53.2635306;34.41611;379152;
Бугульма;Татарстан;54.5298899;52.803851;81677;
Бугуруслан;Оренбургская;53.6234055;52.433221;43593;
Будённовск;Ставропольский;44.7977007;44.159053;58103;
Бузулук;Оренбургская;52.7732825;52.261324;88341;
Буинск;Татарстан;54.9807576;48.295351;19968;
Буй;Костромская;58.4807811;41.526097;20564;
Буйнакск;Дагестан;42.8222753;47.116596;68121;
Бутурлиновка;Воронежская;50.8251938;40.583298;24397;
Валдай;Новгородская;57.9804585;33.24589;14074;
Валуйки;Белгородская;50.2093862;38.099546;33032;
Велиж;Смоленская;55.603606;31.1946062;6293;
ВеликиеЛуки;Псковская;56.3396088;30.531475;86711;
ВеликийНовгород;Новгородская;58.5255698;31.274192;224286;
ВеликийУстюг;Вологодская;60.7594561;46.302564;28670;
Вельск;Архангельская;61.0637658;42.099105;21613;
Венёв;Тульская;54.3498239;38.26232;12668;
Верещагино;Пермский;58.0766886;54.670014;22239;
Верея;Московская;55.3437363;36.185144;4906;
Верхнеуральск;Челябинская;53.8798126;59.215254;8929;
ВерхнийТагил;Свердловская;57.3739259;59.932629;10113;
ВерхняяПышма;Свердловская;56.974633;60.5675988;71335;
ВерхняяСалда;Свердловская;58.0411092;60.559246;41034;
ВерхняяТура;Свердловская;58.3634707;59.810034;8554;
Верхотурье;Свердловская;58.8621517;60.808438;6706;
Верхоянск;Якутия;67.5505925;133.39933;828;
Весьегонск;Тверская;58.6583695;37.259017;6330;
Ветлуга;Нижегородская;57.8521574;45.776332;7681;
Видное;Московская;55.5514908;37.706444;101490;
Вилюйск;Якутия;63.7464403;121.62766;10032;
Вилючинск;Камчатский;52.9322792;158.40578;21774;
Вихоревка;Иркутская;56.1222142;101.1718;21719;
Вичуга;Ивановская;57.2135891;41.913518;30694;
Владивосток;Приморский;43.1332484;131.91129;603519;
Владикавказ;СевернаяОсетия-Алания;43.0252344;44.665975;295830;
Владимир;Владимирская;56.1428026;40.389579;349951;
Волгоград;Волгоградская;48.708048;44.5133035;1028036;
Волгодонск;Ростовская;47.5004928;42.202766;168048;
Волгореченск;Костромская;57.4456872;41.15706;14355;
Волжск;МарийЭл;55.8722768;48.356852;53013;
Волжский;Волгоградская;48.8176494;44.770729;321479;
Вологда;Вологодская;59.2180665;39.897805;313944;
Володарск;Нижегородская;56.2254693;43.182962;9705;
Волоколамск;Московская;56.0318944;35.958599;26389;
Волосово;Ленинградская;59.4430147;29.488559;11931;
Волхов;Ленинградская;59.9257016;32.320846;38511;
Волчанск;Свердловская;50.284234;36.9329429;8573;
Вольск;Саратовская;52.0497081;47.369226;55035;
Воркута;Коми;67.4968967;64.060217;56985;
Ворсма;Нижегородская;55.988075;43.2745128;10162;
Воскресенск;Московская;55.3144032;38.687725;95495;
Воткинск;Удмуртия;57.0495186;54.016388;97471;
Всеволожск;Ленинградская;60.0190765;30.645435;79038;
Вуктыл;Коми;63.8461612;57.308339;9322;
Выборг;Ленинградская;60.7095622;28.749044;72530;
Выкса;Нижегородская;55.3269648;42.162945;45240;
Высоковск;Московская;56.3205239;36.551967;13081;
Высоцк;Ленинградская;60.6252601;28.568049;1129;
Вытегра;Вологодская;61.0051524;36.453403;10386;
ВышнийВолочёк;Тверская;57.5890147;34.560263;45830;
Вяземский;Хабаровский;47.5363898;134.75345;12775;
Вязники;Владимирская;56.2398425;42.102442;36203;
Вязьма;Смоленская;55.2100384;34.296955;51950;
ВятскиеПоляны;Кировская;56.2306501;51.069702;29742;
ГавриловПосад;Ивановская;56.5594646;40.12205;5429;
Гаврилов-Ям;Ярославская;57.3047864;39.853596;16084;
Гагарин;Смоленская;55.5535448;34.996471;26500;
Гаджиево;Мурманская;69.2510157;33.32009;9297;
Гай;Оренбургская;51.4662868;58.446106;33280;
Галич;Костромская;58.3750411;42.349384;12856;
Гатчина;Ленинградская;59.5770957;30.132952;94377;
Гвардейск;Калининградская;54.6521344;21.067035;14122;
Гдов;Псковская;58.7443491;27.819589;3455;
Геленджик;Краснодарский;44.5620352;38.090457;80204;
Георгиевск;Ставропольский;44.1497667;43.457768;63221;
Глазов;Удмуртия;58.1368837;52.654834;87762;
Голицыно;Московская;55.6139341;36.99117;22733;
Горбатов;Нижегородская;56.1316117;43.058744;2009;
Горно-Алтайск;Алтай;51.9587202;85.96012;65342;
Горнозаводск;Пермский;58.3746752;58.330791;11073;
Городец;Нижегородская;56.6449127;43.472482;28660;
Городище;Пензенская;53.2680825;45.697656;22905;
Городовиковск;Калмыкия;46.0834883;41.929335;8285;
Гороховец;Владимирская;56.2005769;42.68619;12666;
ГорячийКлюч;Краснодарский;44.6344341;39.135465;40903;
Гремячинск;Пермский;58.5739449;57.845352;8360;
Грозный;Чечня;43.3187701;45.686524;328533;
Грязи;Липецкая;52.4930211;39.956567;43908;
Грязовец;Вологодская;58.8740343;40.250635;14505;
Губаха;Пермский;58.8389476;57.554426;23397;
Губкин;Белгородская;51.2835478;37.534944;85225;
Губкинский;Ямало-Ненецкий;64.4379795;76.488535;33273;
Гудермес;Чечня;43.3427039;46.096546;64376;
Гуково;Ростовская;48.0513115;39.937704;60361;
Гулькевичи;Краснодарский;45.3602797;40.695183;33357;
Гурьевск;Калининградская;54.7771529;20.596694;26760;
Гурьевск;Кемеровская;54.2830626;85.932621;22134;
Гусев;Калининградская;54.594198;22.2034071;29234;
Гусиноозёрск;Бурятия;51.285594;106.529369;24451;
Гусь-Хрустальный;Владимирская;55.6062836;40.656372;51552;
Давлеканово;Башкортостан;54.2131225;55.029543;21834;
ДагестанскиеОгни;Дагестан;42.1152993;48.187622;31412;
Далматово;Курганская;56.2592008;62.938551;11584;
Дальнегорск;Приморский;44.556083;135.567426;33655;
Дальнереченск;Приморский;45.9294549;133.74278;23613;
Данилов;Ярославская;58.1882017;40.173447;13677;
Данков;Липецкая;53.2534019;39.158953;19726;
Дегтярск;Свердловская;56.6980741;60.087521;15497;
Дедовск;Московская;55.8642973;37.119585;30731;
Демидов;Смоленская;55.2642792;31.515385;6326;
Дербент;Дагестан;42.0674251;48.28909;124953;
Десногорск;Смоленская;54.1525745;33.287493;25345;
Джанкой;Крым;45.7089869;34.387478;37014;
Дзержинск;Нижегородская;56.2374473;43.459617;218630;
